Time,Month,Year,CO2
1,1,1959,315.42
2,2,1959,316.31
3,3,1959,316.5
4,4,1959,317.56
5,5,1959,318.13
6,6,1959,318
7,7,1959,316.39
8,8,1959,314.65
9,9,1959,313.68
10,10,1959,313.18
11,11,1959,314.66
12,12,1959,315.43
13,1,1960,316.27
14,2,1960,316.81
15,3,1960,317.42
16,4,1960,318.87
17,5,1960,319.87
18,6,1960,319.43
19,7,1960,318.01
20,8,1960,315.74
21,9,1960,314
22,10,1960,313.68
23,11,1960,314.84
24,12,1960,316.03
25,1,1961,316.73
26,2,1961,317.54
27,3,1961,318.38
28,4,1961,319.31
29,5,1961,320.42
30,6,1961,319.61
31,7,1961,318.42
32,8,1961,316.63
33,9,1961,314.83
34,10,1961,315.16
35,11,1961,315.94
36,12,1961,316.85
37,1,1962,317.78
38,2,1962,318.4
39,3,1962,319.53
40,4,1962,320.42
41,5,1962,320.85
42,6,1962,320.45
43,7,1962,319.45
44,8,1962,317.25
45,9,1962,316.11
46,10,1962,315.27
47,11,1962,316.53
48,12,1962,317.53
49,1,1963,318.58
50,2,1963,318.92
51,3,1963,319.7
52,4,1963,321.22
53,5,1963,322.08
54,6,1963,321.31
55,7,1963,319.58
56,8,1963,317.61
57,9,1963,316.05
58,10,1963,315.83
59,11,1963,316.91
60,12,1963,318.2
61,1,1964,319.41
62,2,1964,320.07
63,3,1964,320.74
64,4,1964,321.4
65,5,1964,322.06
66,6,1964,321.73
67,7,1964,320.27
68,8,1964,318.54
69,9,1964,316.54
70,10,1964,316.71
71,11,1964,317.53
72,12,1964,318.55
73,1,1965,319.27
74,2,1965,320.28
75,3,1965,320.73
76,4,1965,321.97
77,5,1965,322
78,6,1965,321.71
79,7,1965,321.05
80,8,1965,318.71
81,9,1965,317.66
82,10,1965,317.14
83,11,1965,318.7
84,12,1965,319.25
85,1,1966,320.46
86,2,1966,321.43
87,3,1966,322.23
88,4,1966,323.54
89,5,1966,323.91
90,6,1966,323.59
91,7,1966,322.24
92,8,1966,320.2
93,9,1966,318.48
94,10,1966,317.94
95,11,1966,319.63
96,12,1966,320.87
97,1,1967,322.17
98,2,1967,322.34
99,3,1967,322.88
100,4,1967,324.25
101,5,1967,324.83
102,6,1967,323.93
103,7,1967,322.38
104,8,1967,320.76
105,9,1967,319.1
106,10,1967,319.24
107,11,1967,320.56
108,12,1967,321.8
109,1,1968,322.4
110,2,1968,322.99
111,3,1968,323.73
112,4,1968,324.86
113,5,1968,325.4
114,6,1968,325.2
115,7,1968,323.98
116,8,1968,321.95
117,9,1968,320.18
118,10,1968,320.09
119,11,1968,321.16
120,12,1968,322.74
121,1,1969,323.83
122,2,1969,324.26
123,3,1969,325.47
124,4,1969,326.5
125,5,1969,327.21
126,6,1969,326.54
127,7,1969,325.72
128,8,1969,323.5
129,9,1969,322.22
130,10,1969,321.62
131,11,1969,322.69
132,12,1969,323.95
133,1,1970,324.89
134,2,1970,325.82
135,3,1970,326.77
136,4,1970,327.97
137,5,1970,327.91
138,6,1970,327.5
139,7,1970,326.18
140,8,1970,324.53
141,9,1970,322.93
142,10,1970,322.9
143,11,1970,323.85
144,12,1970,324.96
145,1,1971,326.01
146,2,1971,326.51
147,3,1971,327.01
148,4,1971,327.62
149,5,1971,328.76
150,6,1971,328.4
151,7,1971,327.2
152,8,1971,325.27
153,9,1971,323.2
154,10,1971,323.4
155,11,1971,324.63
156,12,1971,325.85
157,1,1972,326.6
158,2,1972,327.47
159,3,1972,327.58
160,4,1972,329.56
161,5,1972,329.9
162,6,1972,328.92
163,7,1972,327.88
164,8,1972,326.16
165,9,1972,324.68
166,10,1972,325.04
167,11,1972,326.34
168,12,1972,327.39
169,1,1973,328.37
170,2,1973,329.4
171,3,1973,330.14
172,4,1973,331.33
173,5,1973,332.31
174,6,1973,331.9
175,7,1973,330.7
176,8,1973,329.15
177,9,1973,327.35
178,10,1973,327.02
179,11,1973,327.99
180,12,1973,328.48
181,1,1974,329.18
182,2,1974,330.55
183,3,1974,331.32
184,4,1974,332.48
185,5,1974,332.92
186,6,1974,332.08
187,7,1974,331.01
188,8,1974,329.23
189,9,1974,327.27
190,10,1974,327.21
191,11,1974,328.29
192,12,1974,329.41
193,1,1975,330.23
194,2,1975,331.25
195,3,1975,331.87
196,4,1975,333.14
197,5,1975,333.8
198,6,1975,333.43
199,7,1975,331.73
200,8,1975,329.9
201,9,1975,328.4
202,10,1975,328.17
203,11,1975,329.32
204,12,1975,330.59
205,1,1976,331.58
206,2,1976,332.39
207,3,1976,333.33
208,4,1976,334.41
209,5,1976,334.71
210,6,1976,334.17
211,7,1976,332.89
212,8,1976,330.77
213,9,1976,329.14
214,10,1976,328.78
215,11,1976,330.14
216,12,1976,331.52
217,1,1977,332.75
218,2,1977,333.24
219,3,1977,334.53
220,4,1977,335.9
221,5,1977,336.57
222,6,1977,336.1
223,7,1977,334.76
224,8,1977,332.59
225,9,1977,331.42
226,10,1977,330.98
227,11,1977,332.24
228,12,1977,333.68
229,1,1978,334.8
230,2,1978,335.22
231,3,1978,336.47
232,4,1978,337.59
233,5,1978,337.84
234,6,1978,337.72
235,7,1978,336.37
236,8,1978,334.51
237,9,1978,332.6
238,10,1978,332.38
239,11,1978,333.75
240,12,1978,334.78
241,1,1979,336.05
242,2,1979,336.59
243,3,1979,337.79
244,4,1979,338.71
245,5,1979,339.3
246,6,1979,339.12
247,7,1979,337.56
248,8,1979,335.92
249,9,1979,333.75
250,10,1979,333.7
251,11,1979,335.12
252,12,1979,336.56
253,1,1980,337.84
254,2,1980,338.19
255,3,1980,339.91
256,4,1980,340.6
257,5,1980,341.29
258,6,1980,341
259,7,1980,339.39
260,8,1980,337.43
261,9,1980,335.72
262,10,1980,335.84
263,11,1980,336.93
264,12,1980,338.04
265,1,1981,339.06
266,2,1981,340.3
267,3,1981,341.21
268,4,1981,342.33
269,5,1981,342.74
270,6,1981,342.08
271,7,1981,340.32
272,8,1981,338.26
273,9,1981,336.52
274,10,1981,336.68
275,11,1981,338.19
276,12,1981,339.44
277,1,1982,340.57
278,2,1982,341.44
279,3,1982,342.53
280,4,1982,343.39
281,5,1982,343.96
282,6,1982,343.18
283,7,1982,341.88
284,8,1982,339.65
285,9,1982,337.81
286,10,1982,337.69
287,11,1982,339.09
288,12,1982,340.32
289,1,1983,341.2
290,2,1983,342.35
291,3,1983,342.93
292,4,1983,344.77
293,5,1983,345.58
294,6,1983,345.14
295,7,1983,343.81
296,8,1983,342.21
297,9,1983,339.69
298,10,1983,339.82
299,11,1983,340.98
300,12,1983,342.82
301,1,1984,343.52
302,2,1984,344.33
303,3,1984,345.11
304,4,1984,346.88
305,5,1984,347.25
306,6,1984,346.62
307,7,1984,345.22
308,8,1984,343.11
309,9,1984,340.9
310,10,1984,341.18
311,11,1984,342.8
312,12,1984,344.04
313,1,1985,344.79
314,2,1985,345.82
315,3,1985,347.25
316,4,1985,348.17
317,5,1985,348.74
318,6,1985,348.07
319,7,1985,346.38
320,8,1985,344.51
321,9,1985,342.92
322,10,1985,342.62
323,11,1985,344.06
324,12,1985,345.38
325,1,1986,346.11
326,2,1986,346.78
327,3,1986,347.68
328,4,1986,349.37
329,5,1986,350.03
330,6,1986,349.37
331,7,1986,347.76
332,8,1986,345.73
333,9,1986,344.68
334,10,1986,343.99
335,11,1986,345.48
336,12,1986,346.72
337,1,1987,347.84
338,2,1987,348.29
339,3,1987,349.23
340,4,1987,350.8
341,5,1987,351.66
342,6,1987,351.07
343,7,1987,349.33
344,8,1987,347.92
345,9,1987,346.27
346,10,1987,346.18
347,11,1987,347.64
348,12,1987,348.78
349,1,1988,350.25
350,2,1988,351.54
351,3,1988,352.05
352,4,1988,353.41
353,5,1988,354.04
354,6,1988,353.62
355,7,1988,352.22
356,8,1988,350.27
357,9,1988,348.55
358,10,1988,348.72
359,11,1988,349.91
360,12,1988,351.18
361,1,1989,352.6
362,2,1989,352.92
363,3,1989,353.53
364,4,1989,355.26
365,5,1989,355.52
366,6,1989,354.97
367,7,1989,353.75
368,8,1989,351.52
369,9,1989,349.64
370,10,1989,349.83
371,11,1989,351.14
372,12,1989,352.37
373,1,1990,353.5
374,2,1990,354.55
375,3,1990,355.23
376,4,1990,356.04
377,5,1990,357
378,6,1990,356.07
379,7,1990,354.67
380,8,1990,352.76
381,9,1990,350.82
382,10,1990,351.04
383,11,1990,352.69
384,12,1990,354.07
385,1,1991,354.59
386,2,1991,355.63
387,3,1991,357.03
388,4,1991,358.48
389,5,1991,359.22
390,6,1991,358.12
391,7,1991,356.06
392,8,1991,353.92
393,9,1991,352.05
394,10,1991,352.11
395,11,1991,353.64
396,12,1991,354.89
397,1,1992,355.88
398,2,1992,356.63
399,3,1992,357.72
400,4,1992,359.07
401,5,1992,359.58
402,6,1992,359.17
403,7,1992,356.94
404,8,1992,354.92
405,9,1992,352.94
406,10,1992,353.23
407,11,1992,354.09
408,12,1992,355.33
409,1,1993,356.63
410,2,1993,357.1
411,3,1993,358.32
412,4,1993,359.41
413,5,1993,360.23
414,6,1993,359.55
415,7,1993,357.53
416,8,1993,355.48
417,9,1993,353.67
418,10,1993,353.95
419,11,1993,355.3
420,12,1993,356.78
421,1,1994,358.34
422,2,1994,358.89
423,3,1994,359.95
424,4,1994,361.25
425,5,1994,361.67
426,6,1994,360.94
427,7,1994,359.55
428,8,1994,357.49
429,9,1994,355.84
430,10,1994,356
431,11,1994,357.59
432,12,1994,359.05
433,1,1995,359.98
434,2,1995,361.03
435,3,1995,361.66
436,4,1995,363.48
437,5,1995,363.82
438,6,1995,363.3
439,7,1995,361.94
440,8,1995,359.5
441,9,1995,358.11
442,10,1995,357.8
443,11,1995,359.61
444,12,1995,360.74
445,1,1996,362.09
446,2,1996,363.29
447,3,1996,364.06
448,4,1996,364.76
449,5,1996,365.45
450,6,1996,365.01
451,7,1996,363.7
452,8,1996,361.54
453,9,1996,359.51
454,10,1996,359.65
455,11,1996,360.8
456,12,1996,362.38
457,1,1997,363.23
458,2,1997,364.06
459,3,1997,364.61
460,4,1997,366.4
461,5,1997,366.84
462,6,1997,365.68
463,7,1997,364.52
464,8,1997,362.57
465,9,1997,360.24
466,10,1997,360.83
467,11,1997,362.49
468,12,1997,364.34
